Source name,reason
Source name,not in Fungal Names (Current) AND not in NCBI
Mortierella wolfii,not in Fungal Names (Current) AND not in NCBI
Athelia rolfsii,not in Fungal Names (Current) AND not in NCBI
Lecanicillium lecanii,not in Fungal Names (Current) AND not in NCBI
Allomyces arbuscula,not in Fungal Names (Current) AND not in NCBI
Arthrobotrys oligospora ,not in Fungal Names (Current) AND not in NCBI
Aschersonia aleyrodis,not found in NCBI names.dmp
Aspergillus awamori,not a Current Name in Fungal Names file
Aspergillus fischeri,not a Current Name in Fungal Names file
Aspergillus oryzae,not a Current Name in Fungal Names file
Eurotium rubrum,not in Fungal Names (Current) AND not in NCBI
Auricularia polytricha,not a Current Name in Fungal Names file
Bisifusarium dimerum,not found in NCBI names.dmp
Blastomyces parvus,not a Current Name in Fungal Names file
Blastomyces percursus,not a Current Name in Fungal Names file
Boletus variegatus,not in Fungal Names (Current) AND not in NCBI
Rhodotorula aurantiaca,not in Fungal Names (Current) AND not in NCBI
Bulleromyces albus,not in Fungal Names (Current) AND not in NCBI
Candida asparagi,not in Fungal Names (Current) AND not in NCBI
Candida atlantica,not found in NCBI names.dmp
Candida auris,not in Fungal Names (Current) AND not in NCBI
Candida blattae,not in Fungal Names (Current) AND not in NCBI
Candida blattariae,not found in NCBI names.dmp
Candida bohiensis,not in Fungal Names (Current) AND not in NCBI
Candida boidinii,not found in NCBI names.dmp
Candida diospyri,not found in NCBI names.dmp
Candida michaelii,not found in NCBI names.dmp
Candida parapsilosis,not found in NCBI names.dmp
Candida qinlingensis,not found in NCBI names.dmp
Candida suzukii,not found in NCBI names.dmp
Cenococcum graniforme,not found in NCBI names.dmp
Ophiostoma montium,not a Current Name in Fungal Names file
Ceratocystis paradoxa,not found in NCBI names.dmp
Ophiostoma piceae,not a Current Name in Fungal Names file
Gelatoporia subvermispora,not a Current Name in Fungal Names file
Colletotrichum linicola,not found in NCBI names.dmp
Paraconiothyrium fuckelii,not a Current Name in Fungal Names file
Isaria farinosa,not in Fungal Names (Current) AND not in NCBI
Endothia radicalis,not a Current Name in Fungal Names file
"Trametes menziesii,",not in Fungal Names (Current) AND not in NCBI
Bipolaris hawaiiensis,not in Fungal Names (Current) AND not in NCBI
Trichosporon cutaneum,not in Fungal Names (Current) AND not in NCBI
Cyberlindnera jadinii,not found in NCBI names.dmp
Agrocybe cylindracea,not in Fungal Names (Current) AND not in NCBI
Rhodotorula minuta,not in Fungal Names (Current) AND not in NCBI
Valsa mali ,not in Fungal Names (Current) AND not in NCBI
Daedalea quercina,not in Fungal Names (Current) AND not in NCBI
Torulaspora delbrueckii,not a Current Name in Fungal Names file
Phomopsis phaseoli,not a Current Name in Fungal Names file
Ascochyta lentis,not a Current Name in Fungal Names file
Didymella pisi,not found in NCBI names.dmp
Geotrichum carabidarum,not a Current Name in Fungal Names file
Geotrichum histeridarum,not a Current Name in Fungal Names file
Marssonina brunnea ,not in Fungal Names (Current) AND not in NCBI
Emergomyces crescens,not in Fungal Names (Current) AND not in NCBI
Aspergillus versicolor ,not a Current Name in Fungal Names file
Pycnoporus sanguineus,not in Fungal Names (Current) AND not in NCBI
Fusarium moniliforme,not in Fungal Names (Current) AND not in NCBI
Neocosmospora phaseoli,not in Fungal Names (Current) AND not in NCBI
Fusarium roseum,not in Fungal Names (Current) AND not in NCBI
Neocosmospora pisi,not found in NCBI names.dmp
Grosmannia clavigera,not found in NCBI names.dmp
Hericium alpestre,not a Current Name in Fungal Names file
Oudemansiella radicata,not in Fungal Names (Current) AND not in NCBI
Pichia kudriavzevii,not a Current Name in Fungal Names file
Aureobasidium zeae,not a Current Name in Fungal Names file
Kazachstania pintolopesii,not in Fungal Names (Current) AND not in NCBI
Candida macedoniensis,not in Fungal Names (Current) AND not in NCBI
Candida arcana,not in Fungal Names (Current) AND not in NCBI
Candida derodonti,not in Fungal Names (Current) AND not in NCBI
Candida hungarica,not in Fungal Names (Current) AND not in NCBI
Candida fragi,not in Fungal Names (Current) AND not in NCBI
Lachancea quebecansis,not in Fungal Names (Current) AND not in NCBI
Lactarius volemus,not in Fungal Names (Current) AND not in NCBI
Lenzites betulina,not in Fungal Names (Current) AND not in NCBI
Leptosphaeria avenaria,not found in NCBI names.dmp
Leptosphaeria maculans,not found in NCBI names.dmp
Leucoagaricus gongylophorus,not in Fungal Names (Current) AND not in NCBI
Leucosporidiella creatinivora,not in Fungal Names (Current) AND not in NCBI
Malassezia sympodia,not in Fungal Names (Current) AND not in NCBI
Melampsora larici-populina,not in Fungal Names (Current) AND not in NCBI
Pochonia chlamydosporia ,not a Current Name in Fungal Names file
Metschnikowia fructicola,not in Fungal Names (Current) AND not in NCBI
Metschnikowia koreensis,not a Current Name in Fungal Names file
Metschnikowia persimmonesis,not in Fungal Names (Current) AND not in NCBI
Candida picachoensis,not in Fungal Names (Current) AND not in NCBI
Candida pimensis,not in Fungal Names (Current) AND not in NCBI
Candida elateridarum,not in Fungal Names (Current) AND not in NCBI
Morchella conica,not a Current Name in Fungal Names file
Mortierella verticillata,not in Fungal Names (Current) AND not in NCBI
Mrakia blollopsis,not found in NCBI names.dmp
Mrakia gelida,not a Current Name in Fungal Names file
Oudemansiella mucida,not in Fungal Names (Current) AND not in NCBI
Mucor ambiguus,not a Current Name in Fungal Names file
Rhizomucor endophyticus ,not in Fungal Names (Current) AND not in NCBI
Hypomyces perniciosus,not a Current Name in Fungal Names file
Ustilago maydis,not found in NCBI names.dmp
Mycosphaerella linicola,not found in NCBI names.dmp
Nadsonia elongata,not in Fungal Names (Current) AND not in NCBI
Tremella aurantialba,not in Fungal Names (Current) AND not in NCBI
Cryptococcus adeliensis,not in Fungal Names (Current) AND not in NCBI
Cryptococcus antarcticus,not in Fungal Names (Current) AND not in NCBI
Cryptococcus vishniacii,not in Fungal Names (Current) AND not in NCBI
Torulopsis glabrata,not in Fungal Names (Current) AND not in NCBI
Neoantrodia serialis,not found in NCBI names.dmp
"Neocosmospora metavorans,",not in Fungal Names (Current) AND not in NCBI
Botryosphaeria parva ,not in Fungal Names (Current) AND not in NCBI
Lentinus lepideus,not in Fungal Names (Current) AND not in NCBI
Nectria ditissima,not in Fungal Names (Current) AND not in NCBI
Aspergillus clavatus,not a Current Name in Fungal Names file
Biatriospora mackinnonii,not in Fungal Names (Current) AND not in NCBI
Poria rivulosa,not in Fungal Names (Current) AND not in NCBI
Pseudocercosporella herpotrichoides,not in Fungal Names (Current) AND not in NCBI
Hansenula polymorpha,not in Fungal Names (Current) AND not in NCBI
Oidiodendron maius,not a Current Name in Fungal Names file
Byssochlamys fulva,not in Fungal Names (Current) AND not in NCBI
Byssochlamys nivea,not in Fungal Names (Current) AND not in NCBI
Penicillium patulum,not in Fungal Names (Current) AND not in NCBI
Peronospora farinosa,not a Current Name in Fungal Names file
Peronospora tabacina,not a Current Name in Fungal Names file
Phanerochaete chrysosporium,not in Fungal Names (Current) AND not in NCBI
Phytophthora cambivora,not found in NCBI names.dmp
Pleospora lycopersici,not found in NCBI names.dmp
Phellinus pini,not in Fungal Names (Current) AND not in NCBI
Mycosphaerella musicola,not in Fungal Names (Current) AND not in NCBI
Geomyces pannorum,not in Fungal Names (Current) AND not in NCBI
Puccinia triticina,not a Current Name in Fungal Names file
Rectifusarium ventricosum,not found in NCBI names.dmp
Rhizoctonia oryzae-sativae,not in Fungal Names (Current) AND not in NCBI
Rhizopus oryzae,not in Fungal Names (Current) AND not in NCBI
Oligoporus placenta,not in Fungal Names (Current) AND not in NCBI
Rhodosporidium toruloides ,not in Fungal Names (Current) AND not in NCBI
Rozella allomycis,not a Current Name in Fungal Names file
Saccharomyces bayanus,not found in NCBI names.dmp
Cryptococcus podzolicus,not in Fungal Names (Current) AND not in NCBI
Sarcodon aspratus,not a Current Name in Fungal Names file
